,제목,링크,정보제공,날짜
64,"
[특징주] 네이버·카카오, 파월 '속도조절' 시사에 급등
",https://finance.naver.com//item/news_read.naver?article_id=0004128634&office_id=011&code=035720&page=5&sm=title_entity_id.basic,서울경제, 2022.12.01 09:31
65,"
나스닥 급등에 네이버·카카오 강세…카카오페이 7%↑ [개장시황]
",https://finance.naver.com//item/news_read.naver?article_id=0000035354&office_id=243&code=035720&page=5&sm=title_entity_id.basic,이코노미스트, 2022.12.01 09:19
66,"
'몸집만 카카오' 당근마켓, 수장교체 전략 먹힐까
",https://finance.naver.com//item/news_read.naver?article_id=0000012078&office_id=648&code=035720&page=5&sm=title_entity_id.basic,비즈니스워치, 2022.12.01 06:51
67,"
카카오·KT·현대 기술 모았다…무료 ‘달구벌 자율주행차’ 어떻게 타요?
",https://finance.naver.com//item/news_read.naver?article_id=0000035316&office_id=243&code=035720&page=5&sm=title_entity_id.basic,이코노미스트, 2022.11.30 16:28
68,"
네이버·카카오·토스·쿠팡페이, 내년부터 '깜깜이 수수료' 연 2회 공시...
",https://finance.naver.com//item/news_read.naver?article_id=0005378052&office_id=018&code=035720&page=5&sm=title_entity_id.basic,이데일리, 2022.11.30 16:24
69,"
네이버·카카오, 내년 2월부터 간편결제 수수료율 공시한다
",https://finance.naver.com//item/news_read.naver?article_id=0004823939&office_id=008&code=035720&page=5&sm=title_entity_id.basic,머니투데이, 2022.11.30 15:17
70,"
카카오·네이버, 내년부터 간편결제 수수료 공시… ‘총 수수료’ 공개 ...
",https://finance.naver.com//item/news_read.naver?article_id=0000858888&office_id=366&code=035720&page=5&sm=title_entity_id.basic,조선비즈, 2022.11.30 14:52
71,"
네이버·카카오, 내년 2월부터 간편결제수수료 공시한다
",https://finance.naver.com//item/news_read.naver?article_id=0005184805&office_id=277&code=035720&page=5&sm=title_entity_id.basic,아시아경제, 2022.11.30 06:10
72,"
IPO 나선 카카오엔터…텐센트 본사 임원 이사회 진입
",https://finance.naver.com//item/news_read.naver?article_id=0005185058&office_id=277&code=035720&page=5&sm=title_entity_id.basic,아시아경제, 2022.11.30 10:38
73,"
엔씨, 팬덤 플랫폼 '유니버스' 카카오엔터에 매각 추진
",https://finance.naver.com//item/news_read.naver?article_id=0005184764&office_id=277&code=035720&page=5&sm=title_entity_id.basic,아시아경제, 2022.11.29 21:49
74,"
카카오 먹통에도 이용자 증가한 ‘콘텐츠·모빌리티’…이유는?
",https://finance.naver.com//item/news_read.naver?article_id=0000035239&office_id=243&code=035720&page=6&sm=title_entity_id.basic,이코노미스트, 2022.11.29 18:56
75,"
카카오 잡겠다는 플랫폼 규제…""e커머스 업계 초토화시킬 것""
",https://finance.naver.com//item/news_read.naver?article_id=0004781320&office_id=015&code=035720&page=6&sm=title_entity_id.basic,한국경제, 2022.11.29 18:23
76,"
12월 '카카오 먹통사태' 방지방안 나온다
",https://finance.naver.com//item/news_read.naver?article_id=0004935263&office_id=014&code=035720&page=6&sm=title_entity_id.basic,파이낸셜뉴스, 2022.11.29 17:04
77,"
코스피, 외인?기관 동반 ‘사자’에 상승 마감…카카오?기아 강세
",https://finance.naver.com//item/news_read.naver?article_id=0000035220&office_id=243&code=035720&page=6&sm=title_entity_id.basic,이코노미스트, 2022.11.29 16:06
78,"
KT·카카오T 역량 결집한 '달구벌자율차', 대구 달린다
",https://finance.naver.com//item/news_read.naver?article_id=0004823268&office_id=008&code=035720&page=6&sm=title_entity_id.basic,머니투데이, 2022.11.29 09:50
79,"
카카오메이커스의 상생 프로그램 제버가치, 누적 거래액 100억 돌파
",https://finance.naver.com//item/news_read.naver?article_id=0000035137&office_id=243&code=035720&page=6&sm=title_entity_id.basic,이코노미스트, 2022.11.28 17:16
80,"
카카오메이커스, 농축수산물 판로 개척...누적 거래액 100억 돌파
",https://finance.naver.com//item/news_read.naver?article_id=0005183750&office_id=277&code=035720&page=6&sm=title_entity_id.basic,아시아경제, 2022.11.28 10:40
81,"
카카오모빌리티 ‘94년생 사외이사 선임’…IPO 속도 낼까
",https://finance.naver.com//item/news_read.naver?article_id=0005051690&office_id=009&code=035720&page=6&sm=title_entity_id.basic,매일경제, 2022.11.28 09:49
82,"
실적 하향 이어지는 네이버·카카오…""신규매출·비용절감 필요""
",https://finance.naver.com//item/news_read.naver?article_id=0005183480&office_id=277&code=035720&page=6&sm=title_entity_id.basic,아시아경제, 2022.11.27 19:38
83,"
‘94년생 女이사’ 파격 선임…카카오모빌리티 IPO 속도 붙나
",https://finance.naver.com//item/news_read.naver?article_id=0004126950&office_id=011&code=035720&page=6&sm=title_entity_id.basic,서울경제, 2022.11.27 11:26
84,"
카카오, 디지털 보안 업체 지분 사들인 까닭은?
",https://finance.naver.com//item/news_read.naver?article_id=0000078541&office_id=024&code=035720&page=6&sm=title_entity_id.basic,매경이코노미, 2022.11.26 13:52
85,"
카카오, 내달 7일 장애원인 조사결과 발표
",https://finance.naver.com//item/news_read.naver?article_id=0000011986&office_id=648&code=035720&page=7&sm=title_entity_id.basic,비즈니스워치, 2022.11.26 12:01
86,"
“아~ 카카오” 그룹주 동반 하락...남몰래 웃는 카뱅
",https://finance.naver.com//item/news_read.naver?article_id=0005050771&office_id=009&code=035720&page=7&sm=title_entity_id.basic,매일경제, 2022.11.25 13:52
87,"
[특징주] 카카오그룹株 약세…국세청 카카오 계열사 ‘특별 세무조사’ 영...
",https://finance.naver.com//item/news_read.naver?article_id=0000857670&office_id=366&code=035720&page=7&sm=title_entity_id.basic,조선비즈, 2022.11.25 10:04
88,"
[특징주] 카카오 계열사 세무조사 소식에 그룹주 약세
",https://finance.naver.com//item/news_read.naver?article_id=0004126409&office_id=011&code=035720&page=7&sm=title_entity_id.basic,서울경제, 2022.11.25 09:44
89,"
'카카오 먹통 사태' 그 후…위기 막는 스타트업 '안전' 기술들 뜬다
",https://finance.naver.com//item/news_read.naver?article_id=0004822162&office_id=008&code=035720&page=7&sm=title_entity_id.basic,머니투데이, 2022.11.25 09:00
90,"
국세청, 카카오 계열사 특별 세무조사
",https://finance.naver.com//item/news_read.naver?article_id=0004822064&office_id=008&code=035720&page=7&sm=title_entity_id.basic,머니투데이, 2022.11.24 20:49
91,"
국세청, 카카오 계열사 특별 세무조사
",https://finance.naver.com//item/news_read.naver?article_id=0005182614&office_id=277&code=035720&page=7&sm=title_entity_id.basic,아시아경제, 2022.11.24 19:56
92,"
국세청, 카카오 계열사 특별 세무조사 착수…탈세 여부 검증
",https://finance.naver.com//item/news_read.naver?article_id=0002070034&office_id=016&code=035720&page=7&sm=title_entity_id.basic,헤럴드경제, 2022.11.24 19:55
93,"
카카오, KISA와 중소사업자 대상 ‘개인정보보호’ 교육
",https://finance.naver.com//item/news_read.naver?article_id=0000034960&office_id=243&code=035720&page=7&sm=title_entity_id.basic,이코노미스트, 2022.11.24 16:02
94,"
카카오, KISA와 중소사업자 대상 개인정보보호 교육 '맞손'
",https://finance.naver.com//item/news_read.naver?article_id=0004125958&office_id=011&code=035720&page=7&sm=title_entity_id.basic,서울경제, 2022.11.24 10:35
95,"
KISA-카카오, 중소사업자 개인정보보호 온라인 교육
",https://finance.naver.com//item/news_read.naver?article_id=0004821677&office_id=008&code=035720&page=7&sm=title_entity_id.basic,머니투데이, 2022.11.24 10:22
96,"
카카오 먹통 방지책 맡은 남궁훈 ""치부 공개 부끄럽지만 성장 기회될 것...
",https://finance.naver.com//item/news_read.naver?article_id=0005182397&office_id=277&code=035720&page=7&sm=title_entity_id.basic,아시아경제, 2022.11.24 13:52
97,"
남궁훈 ""카카오 규모의 기업이 치부 공개, 세계적으로도 드문 일""
",https://finance.naver.com//item/news_read.naver?article_id=0004821762&office_id=008&code=035720&page=7&sm=title_entity_id.basic,머니투데이, 2022.11.24 11:53
98,"
카뱅 출신 국회의원이 바라본 카카오 거버넌스는?
",https://finance.naver.com//item/news_read.naver?article_id=0000011940&office_id=648&code=035720&page=7&sm=title_entity_id.basic,비즈니스워치, 2022.11.24 11:01
99,"
금리인상 속도조절 기대감에…'빅테크' 카카오·네이버 강세
",https://finance.naver.com//item/news_read.naver?article_id=0004778900&office_id=015&code=035720&page=7&sm=title_entity_id.basic,한국경제, 2022.11.24 10:28
100,"
""빈 살만이 관심 보이니""...네이버·카카오 동반 강세
",https://finance.naver.com//item/news_read.naver?article_id=0004932919&office_id=014&code=035720&page=7&sm=title_entity_id.basic,파이낸셜뉴스, 2022.11.24 09:47
101,"
""빈 살만 왕세자가 카카오 찜해""…투자검토 소식에 주가 급등
",https://finance.naver.com//item/news_read.naver?article_id=0004821585&office_id=008&code=035720&page=8&sm=title_entity_id.basic,머니투데이, 2022.11.24 08:35
102,"
카카오, 내달 ‘먹통 사태’ 재발방지대책 발표
",https://finance.naver.com//item/news_read.naver?article_id=0004932643&office_id=014&code=035720&page=8&sm=title_entity_id.basic,파이낸셜뉴스, 2022.11.23 18:18
103,"
카카오, 먹통 ‘보상·개선안’ 마련 속도 내지만 갈 길 멀어
",https://finance.naver.com//item/news_read.naver?article_id=0000034859&office_id=243&code=035720&page=8&sm=title_entity_id.basic,이코노미스트, 2022.11.23 15:21
104,"
카카오, 내달 7일 '먹통 사태' 재발방지대책 공개한다
",https://finance.naver.com//item/news_read.naver?article_id=0004932453&office_id=014&code=035720&page=8&sm=title_entity_id.basic,파이낸셜뉴스, 2022.11.23 15:09
105,"
카카오, 다음달 7일 대규모 장애 원인·재발방지책 공개한다
",https://finance.naver.com//item/news_read.naver?article_id=0004821267&office_id=008&code=035720&page=8&sm=title_entity_id.basic,머니투데이, 2022.11.23 13:37
106,"
빈살만 투자 기대감 카카오·카겜 급등
",https://finance.naver.com//item/news_read.naver?article_id=0005049727&office_id=009&code=035720&page=8&sm=title_entity_id.basic,매일경제, 2022.11.23 17:29
107,"
카카오, 서울카페쇼 ‘온라인 페어’ 진행…브랜드 지원 목적
",https://finance.naver.com//item/news_read.naver?article_id=0000034871&office_id=243&code=035720&page=8&sm=title_entity_id.basic,이코노미스트, 2022.11.23 16:04
108,"
“땡큐! 빈 살만”...사우디 코인 탑승 카카오 주주들 함박웃음 [이종...
",https://finance.naver.com//item/news_read.naver?article_id=0005049504&office_id=009&code=035720&page=8&sm=title_entity_id.basic,매일경제, 2022.11.23 13:48
109,"
[특징주] 빈 살만 카카오엔터 투자 논의에… 모회사 카카오 5%대 강...
",https://finance.naver.com//item/news_read.naver?article_id=0000856976&office_id=366&code=035720&page=8&sm=title_entity_id.basic,조선비즈, 2022.11.23 09:16
110,"
[특징주]카카오, 사우디 국부펀드 투자 보도에 5%대 강세
",https://finance.naver.com//item/news_read.naver?article_id=0005372869&office_id=018&code=035720&page=8&sm=title_entity_id.basic,이데일리, 2022.11.23 09:10
111,"
""빈 살만이 찍었다""…카카오 그룹주 일제히 급등
",https://finance.naver.com//item/news_read.naver?article_id=0002069314&office_id=016&code=035720&page=8&sm=title_entity_id.basic,헤럴드경제, 2022.11.23 13:43
