,제목,링크,정보제공,날짜
73,"
카카오페이, '계좌 지킴이' 서비스…내계좌 도용 여부 확인
",https://finance.naver.com//item/news_read.naver?article_id=0004817801&office_id=008&code=377300&page=3&sm=title_entity_id.basic,머니투데이, 2022.11.14 17:03
74,"
카카오페이, ‘계좌 지킴이’ 서비스 개시…“계좌 도용 여부 알 수 있...
",https://finance.naver.com//item/news_read.naver?article_id=0002065327&office_id=016&code=377300&page=3&sm=title_entity_id.basic,헤럴드경제, 2022.11.14 13:53
75,"
카카오페이 ""마이데이터 연결 계좌 도용 여부 알려드려요""
",https://finance.naver.com//item/news_read.naver?article_id=0005176828&office_id=277&code=377300&page=3&sm=title_entity_id.basic,아시아경제, 2022.11.14 10:47
76,"
카카오페이, 계좌 도용 알려주는 '계좌 지킴이' 서비스 시작
",https://finance.naver.com//item/news_read.naver?article_id=0004927580&office_id=014&code=377300&page=3&sm=title_entity_id.basic,파이낸셜뉴스, 2022.11.14 10:33
77,"
카카오뱅크·카카오페이 ‘신났다’…인플레이션 정점 확인에 2거래일째 ‘....
",https://finance.naver.com//item/news_read.naver?article_id=0000078308&office_id=024&code=377300&page=3&sm=title_entity_id.basic,매경이코노미, 2022.11.14 11:21
78,"
[특징주] 카카오페이·뱅크, 장중 동반 급등세
",https://finance.naver.com//item/news_read.naver?article_id=0004927589&office_id=014&code=377300&page=3&sm=title_entity_id.basic,파이낸셜뉴스, 2022.11.14 10:38
79,"
[특징주] 카카오페이·뱅크, 연이어 강세… 긴축 속도 조절 기대감
",https://finance.naver.com//item/news_read.naver?article_id=0000854652&office_id=366&code=377300&page=3&sm=title_entity_id.basic,조선비즈, 2022.11.14 09:56
80,"
[특징주]카카오페이, 금리 정책 변화 기대감…14% 급등
",https://finance.naver.com//item/news_read.naver?article_id=0005176756&office_id=277&code=377300&page=3&sm=title_entity_id.basic,아시아경제, 2022.11.14 09:48
81,"
카카오페이, 15%대 급등…이틀 연속 강세[특징주]
",https://finance.naver.com//item/news_read.naver?article_id=0005366526&office_id=018&code=377300&page=3&sm=title_entity_id.basic,이데일리, 2022.11.14 09:23
82,"
카카오페이, 인플레이션 정점 확인 안도감에 2거래일 연속 '급등'
",https://finance.naver.com//item/news_read.naver?article_id=0004774159&office_id=015&code=377300&page=3&sm=title_entity_id.basic,한국경제, 2022.11.14 09:34
83,"
카카오페이 16%·카카오뱅크 7% 급등...공매도는 '발등의 불'
",https://finance.naver.com//item/news_read.naver?article_id=0004817490&office_id=008&code=377300&page=3&sm=title_entity_id.basic,머니투데이, 2022.11.14 09:27
84,"
中·日 시장 양날개…카카오페이, 이유있는 상한가 [이번주 株인공]
",https://finance.naver.com//item/news_read.naver?article_id=0000034141&office_id=243&code=377300&page=4&sm=title_entity_id.basic,이코노미스트, 2022.11.14 07:02
85,"
코스피, 21개월 만에 최대 상승…카카오페이 ‘상한가’ [마감시황]
",https://finance.naver.com//item/news_read.naver?article_id=0000034079&office_id=243&code=377300&page=4&sm=title_entity_id.basic,이코노미스트, 2022.11.11 16:42
86,"
""이게 되네"" 놀라서 다시 본 카카오페이 '上'…코스피도 '폭주'
",https://finance.naver.com//item/news_read.naver?article_id=0004817021&office_id=008&code=377300&page=4&sm=title_entity_id.basic,머니투데이, 2022.11.11 16:25
87,"
美 인플레이션 후퇴…네카오·게임株 상승, 카카오페이 상한가
",https://finance.naver.com//item/news_read.naver?article_id=0004816977&office_id=008&code=377300&page=4&sm=title_entity_id.basic,머니투데이, 2022.11.11 15:09
88,"
카카오페이, 한은 디지털화폐 사업 완수... 오프라인 지급결제서비스 개...
",https://finance.naver.com//item/news_read.naver?article_id=0000062815&office_id=050&code=377300&page=4&sm=title_entity_id.basic,한경비즈니스, 2022.11.11 11:23
89,"
카카오페이, 인터넷 끊겨도 쓰는 CBDC 기술검증
",https://finance.naver.com//item/news_read.naver?article_id=0005364498&office_id=018&code=377300&page=4&sm=title_entity_id.basic,이데일리, 2022.11.11 11:17
90,"
카카오페이, 오프라인 지급결제서비스 개발
",https://finance.naver.com//item/news_read.naver?article_id=0004926746&office_id=014&code=377300&page=4&sm=title_entity_id.basic,파이낸셜뉴스, 2022.11.11 11:06
91,"
카카오페이, 한은 CBDC 2차 사업 완수 “오프라인 지급결제서비스 ...
",https://finance.naver.com//item/news_read.naver?article_id=0000854199&office_id=366&code=377300&page=4&sm=title_entity_id.basic,조선비즈, 2022.11.11 10:38
92,"
카카오페이 ""한은 '디지털화폐 사업'서 오프라인 거래 개발""
",https://finance.naver.com//item/news_read.naver?article_id=0004816801&office_id=008&code=377300&page=4&sm=title_entity_id.basic,머니투데이, 2022.11.11 09:32
93,"
카카오페이, 한국은행 CBDC 2차 사업 완수…오프라인 지급결제서비스...
",https://finance.naver.com//item/news_read.naver?article_id=0005175773&office_id=277&code=377300&page=4&sm=title_entity_id.basic,아시아경제, 2022.11.11 09:29
94,"
카카오페이, 한은 CBDC 2차 사업 완수…오프라인 CBDC 등 개발
",https://finance.naver.com//item/news_read.naver?article_id=0004120968&office_id=011&code=377300&page=4&sm=title_entity_id.basic,서울경제, 2022.11.11 09:16
95,"
[특징주] 카카오 형제, 나란히 웃음꽃...카카오페이 14%↑
",https://finance.naver.com//item/news_read.naver?article_id=0004926679&office_id=014&code=377300&page=4&sm=title_entity_id.basic,파이낸셜뉴스, 2022.11.11 09:32
96,"
[특징주] 카카오페이, 美 기술주 강세에 반등…장 초반 20% 가까이 ...
",https://finance.naver.com//item/news_read.naver?article_id=0000854150&office_id=366&code=377300&page=4&sm=title_entity_id.basic,조선비즈, 2022.11.11 09:18
97,"
카카오페이손보, 자립준비청년 위해 안심보험 마련
",https://finance.naver.com//item/news_read.naver?article_id=0004926460&office_id=014&code=377300&page=4&sm=title_entity_id.basic,파이낸셜뉴스, 2022.11.10 18:07
98,"
카카오페이손해보험, 아름다운재단에 '금융안심보험' 기부
",https://finance.naver.com//item/news_read.naver?article_id=0005175515&office_id=277&code=377300&page=4&sm=title_entity_id.basic,아시아경제, 2022.11.10 16:20
99,"
카카오페이손해보험, '금융안심보험'으로 자립준비청년 돕는다
",https://finance.naver.com//item/news_read.naver?article_id=0004926265&office_id=014&code=377300&page=4&sm=title_entity_id.basic,파이낸셜뉴스, 2022.11.10 14:26
100,"
아름다운재단, 카카오페이손보 금융안심보호 1호 가입
",https://finance.naver.com//item/news_read.naver?article_id=0002063872&office_id=016&code=377300&page=4&sm=title_entity_id.basic,헤럴드경제, 2022.11.10 10:35
