,제목,링크,정보제공,날짜
82,"
카카오뱅크, '미운' 카카오그룹주 가운데 '백조' 되려나
",https://finance.naver.com//item/news_read.naver?article_id=0005375731&office_id=018&code=323410&page=4&sm=title_entity_id.basic,이데일리, 2022.11.28 06:03
83,"
카카오뱅크, 중저신용자 대출 누적 6조6000억원...목표 비중 달성 ...
",https://finance.naver.com//item/news_read.naver?article_id=0004933778&office_id=014&code=323410&page=4&sm=title_entity_id.basic,파이낸셜뉴스, 2022.11.25 16:37
84,"
카카오뱅크 중·저신용대출 비중 24%…누적 6.6조원
",https://finance.naver.com//item/news_read.naver?article_id=0005183023&office_id=277&code=323410&page=4&sm=title_entity_id.basic,아시아경제, 2022.11.25 14:34
85,"
카카오뱅크, 중·저신용 대출 잔액 비중 24%… 10월 말까지 6조6...
",https://finance.naver.com//item/news_read.naver?article_id=0000857773&office_id=366&code=323410&page=4&sm=title_entity_id.basic,조선비즈, 2022.11.25 14:21
86,"
“아~ 카카오” 그룹주 동반 하락...남몰래 웃는 카뱅
",https://finance.naver.com//item/news_read.naver?article_id=0005050771&office_id=009&code=323410&page=4&sm=title_entity_id.basic,매일경제, 2022.11.25 13:52
87,"
83% 추락→63% 반등, 외국인 쓸어담는 카뱅...목표가는 뚝뚝
",https://finance.naver.com//item/news_read.naver?article_id=0004822154&office_id=008&code=323410&page=4&sm=title_entity_id.basic,머니투데이, 2022.11.25 08:41
88,"
증권사 '잿빛 전망'에 카뱅 목표가 줄하향
",https://finance.naver.com//item/news_read.naver?article_id=0004779217&office_id=015&code=323410&page=4&sm=title_entity_id.basic,한국경제, 2022.11.24 18:04
89,"
카카오뱅크 '찐반등' 아니었나…증권사 목표주가 줄하향
",https://finance.naver.com//item/news_read.naver?article_id=0004779062&office_id=015&code=323410&page=4&sm=title_entity_id.basic,한국경제, 2022.11.24 15:51
90,"
카뱅 출신 국회의원이 바라본 카카오 거버넌스는?
",https://finance.naver.com//item/news_read.naver?article_id=0000011940&office_id=648&code=323410&page=4&sm=title_entity_id.basic,비즈니스워치, 2022.11.24 11:01
91,"
SK증권, 카카오뱅크 투자의견 ‘중립’ 하향
",https://finance.naver.com//item/news_read.naver?article_id=0002069633&office_id=016&code=323410&page=4&sm=title_entity_id.basic,헤럴드경제, 2022.11.24 09:57
92,"
SK證, 카카오뱅크 투자의견 ‘중립’…“대출성장률 둔화 부담”
",https://finance.naver.com//item/news_read.naver?article_id=0000034905&office_id=243&code=323410&page=4&sm=title_entity_id.basic,이코노미스트, 2022.11.24 09:21
93,"
카카오뱅크, 투자의견 중립으로 하향...디레버리지 상황 불리-SK
",https://finance.naver.com//item/news_read.naver?article_id=0004932866&office_id=014&code=323410&page=4&sm=title_entity_id.basic,파이낸셜뉴스, 2022.11.24 09:16
94,"
카카오뱅크 목표주가 28% 하향, 투자의견도 중립으로 내려
",https://finance.naver.com//item/news_read.naver?article_id=0004125880&office_id=011&code=323410&page=4&sm=title_entity_id.basic,서울경제, 2022.11.24 08:56
95,"
SK증권 “카카오뱅크, 매출 성장률 둔화… 목표가·투자의견 모두 하향...
",https://finance.naver.com//item/news_read.naver?article_id=0000857298&office_id=366&code=323410&page=4&sm=title_entity_id.basic,조선비즈, 2022.11.24 08:44
96,"
카뱅, 목표가·투자의견 동시에 내리는 까닭…""대출 성장률 둔화""
",https://finance.naver.com//item/news_read.naver?article_id=0004821580&office_id=008&code=323410&page=4&sm=title_entity_id.basic,머니투데이, 2022.11.24 08:30
97,"
""카카오뱅크, 대출성장률 둔화가 약점으로…목표가·투자의견↓""-SK
",https://finance.naver.com//item/news_read.naver?article_id=0004778831&office_id=015&code=323410&page=4&sm=title_entity_id.basic,한국경제, 2022.11.24 07:57
98,"
카카오뱅크, 대출 성장률 둔화가 밸류에이션 약점…목표가↓-SK
",https://finance.naver.com//item/news_read.naver?article_id=0005373627&office_id=018&code=323410&page=4&sm=title_entity_id.basic,이데일리, 2022.11.24 07:48
99,"
카뱅, 토스 등 '챌린저 은행' 강세.. 주거래 은행도 바꾼다""
",https://finance.naver.com//item/news_read.naver?article_id=0002291218&office_id=123&code=323410&page=4&sm=title_entity_id.basic,조세일보, 2022.11.24 09:53
100,"
카뱅 ‘1000원 적금’으로 1년 이자 11만원 버는 비법은? [김윤주...
",https://finance.naver.com//item/news_read.naver?article_id=0000034888&office_id=243&code=323410&page=4&sm=title_entity_id.basic,이코노미스트, 2022.11.24 06:08
101,"
“카카오뱅크 팔아라”…약세장서 소신 지킨 DB금융투자
",https://finance.naver.com//item/news_read.naver?article_id=0000034880&office_id=243&code=323410&page=4&sm=title_entity_id.basic,이코노미스트, 2022.11.23 17:18
102,"
아직도 4배 올라야 본전인데...반등 멈춘 카뱅 카페에 속타는 주주들
",https://finance.naver.com//item/news_read.naver?article_id=0005049659&office_id=009&code=323410&page=5&sm=title_entity_id.basic,매일경제, 2022.11.23 17:00
103,"
치킨과 적금이 만나면?…카뱅, 교촌과 제휴해 ‘치킨 쿠폰 주는’ 적금 ...
",https://finance.naver.com//item/news_read.naver?article_id=0000078461&office_id=024&code=323410&page=5&sm=title_entity_id.basic,매경이코노미, 2022.11.22 16:18
104,"
'적금 들면 치킨 온다' 카카오뱅크, '26주적금 with 교촌치킨’...
",https://finance.naver.com//item/news_read.naver?article_id=0000062971&office_id=050&code=323410&page=5&sm=title_entity_id.basic,한경비즈니스, 2022.11.22 11:17
105,"
“가입 즉시 1만원” 카카오뱅크 ‘26주적금 with 교촌치킨’ 출시
",https://finance.naver.com//item/news_read.naver?article_id=0000034718&office_id=243&code=323410&page=5&sm=title_entity_id.basic,이코노미스트, 2022.11.22 10:01
106,"
""적금하고 치킨 먹자""… 카카오뱅크 26주 적금 with 교촌치킨 출...
",https://finance.naver.com//item/news_read.naver?article_id=0004124883&office_id=011&code=323410&page=5&sm=title_entity_id.basic,서울경제, 2022.11.22 10:00
107,"
카카오뱅크, 적금하고 치킨 먹는 '26주적금 with 교촌치킨' 출시
",https://finance.naver.com//item/news_read.naver?article_id=0004931544&office_id=014&code=323410&page=5&sm=title_entity_id.basic,파이낸셜뉴스, 2022.11.22 09:43
108,"
적금 들고 치킨 먹자…카뱅, 연 7% '26주적금 with 교촌치킨'...
",https://finance.naver.com//item/news_read.naver?article_id=0004777708&office_id=015&code=323410&page=5&sm=title_entity_id.basic,한국경제, 2022.11.22 09:26
109,"
“적금들면 치킨은 덤”…카카오뱅크, ‘26주적금 with 교촌치킨’ ...
",https://finance.naver.com//item/news_read.naver?article_id=0005372054&office_id=018&code=323410&page=5&sm=title_entity_id.basic,이데일리, 2022.11.22 09:14
110,"
카카오뱅크, ‘26주적금 with 교촌치킨’ 출시
",https://finance.naver.com//item/news_read.naver?article_id=0000856808&office_id=366&code=323410&page=5&sm=title_entity_id.basic,조선비즈, 2022.11.22 14:14
111,"
교촌치킨, '카카오뱅크 26주 적금 with 교촌치킨' 선뵈
",https://finance.naver.com//item/news_read.naver?article_id=0002291031&office_id=123&code=323410&page=5&sm=title_entity_id.basic,조세일보, 2022.11.22 11:00
112,"
[주식 초고수는 지금] 성장주 강세 기대감에 카카오뱅크 매수 1위
",https://finance.naver.com//item/news_read.naver?article_id=0004123783&office_id=011&code=323410&page=5&sm=title_entity_id.basic,서울경제, 2022.11.18 11:45
113,"
카카오뱅크, ‘자주만나요’ 이벤트…랜덤 캐시 총 5억원 지급
",https://finance.naver.com//item/news_read.naver?article_id=0000034521&office_id=243&code=323410&page=5&sm=title_entity_id.basic,이코노미스트, 2022.11.18 10:21
114,"
""카카오뱅크와 자주만나요""…랜덤 캐시 이벤트
",https://finance.naver.com//item/news_read.naver?article_id=0002067271&office_id=016&code=323410&page=5&sm=title_entity_id.basic,헤럴드경제, 2022.11.18 09:46
